position,contrast,MAE_target_gain_pct,RMSE_target_gain_pct,MAPE_target_gain_pct
H=12 / step=12,dynamic@full(C-F),4.883741731107459,4.923798280831471,4.690096803842736
H=12 / step=12,dynamic@time(E-B),3.103322163827369,1.3656744553634934,3.652661580798209
H=12 / step=12,query@dynamic(H-E),-2.864540386680157,-0.5133397865564092,-1.8226205660068635
H=12 / step=12,time@static(B-A),14.597940096392334,16.042082080123386,14.67654533865495
H=12 / step=12,weather@dynamic(J-E),-1.998647140986355,-0.5118294106928891,-1.88826550390268
H=36 / step=12,dynamic@full(C-F),2.13406935073812,3.290320233137398,2.312943685508807
H=36 / step=12,dynamic@time(E-B),1.1298418732408233,1.852104309700416,2.113121753751696
H=36 / step=12,query@dynamic(H-E),1.2807502241817748,0.8871542038803326,-0.1119367055041128
H=36 / step=12,time@static(B-A),13.961573978567436,15.003073245494315,14.26338698472683
H=36 / step=12,weather@dynamic(J-E),-1.3639940040961105,-1.371833885027941,-2.102943545779125
H=36 / step=36,dynamic@full(C-F),4.318196123872421,4.525860412045036,5.553546736867189
H=36 / step=36,dynamic@time(E-B),1.5566968300366253,1.8789757560861315,2.7819379860371103
H=36 / step=36,query@dynamic(H-E),2.441871038173938,2.1430165213089043,1.313786413678801
H=36 / step=36,time@static(B-A),15.250577409844082,16.81581424157327,15.079951811829728
H=36 / step=36,weather@dynamic(J-E),-1.5781159842577708,-1.6585419186613808,-2.0231515998158955
