scenario,model,num_samples,mean_signed_delta,mean_abs_delta,treated_signed_delta,treated_abs_delta,untreated_signed_delta,untreated_abs_delta,step_1_signed_delta,step_1_abs_delta,step_12_signed_delta,step_12_abs_delta,step_last_signed_delta,step_last_abs_delta,gate_mean_factual,gate_mean_counterfactual,gate_mean_delta
query_shock,dynamic,64,0.0002887379087042,0.0016484906664118,0.0400239564478397,0.0688197389245033,-0.000357363227522,0.0005562754231505,0.0007019652402959,0.0012766661820933,0.0002774443710222,0.0015156215522438,0.0002060816041193,0.0018650266574695,0.4137251377105713,0.4136399030685425,-8.52346420288086e-05
query_shock,static,64,2.3526750737801198e-05,0.0001529602595837,0.0014704219065606,0.0095600169152021,0.0,0.0,1.063404943124624e-05,1.2187853826617356e-05,-6.933689292054623e-05,6.933689292054623e-05,0.0003576399176381,0.0003576399176381,,,
speed_reduction,dynamic,64,-0.0242426320910453,0.0502706989645957,-1.5427072048187256,1.89517343044281,0.0004478475893847,0.0202722679823637,-0.0483719371259212,0.0613244175910949,-0.0270928032696247,0.0477283485233783,-0.0171254537999629,0.0528694652020931,0.4137251377105713,0.4136706590652466,-5.447864532470703e-05
speed_reduction,static,64,-0.0339442044496536,0.0575109310448169,-1.9901875257492063,2.270876169204712,-0.00213537318632,0.0215212572365999,-0.0553671047091484,0.0711530670523643,-0.0375997610390186,0.0554914660751819,-0.0271293520927429,0.0576001442968845,,,
