contrast,H_trained,report_step,base_mode,target_mode,base_model,target_model,MAE_base_mean,MAE_target_mean,MAE_target_gain_pct,RMSE_base_mean,RMSE_target_mean,RMSE_target_gain_pct,MAPE_base_mean,MAPE_target_mean,MAPE_target_gain_pct
weather_given_query@static(F-G),36,12,G_time_query_static,F_traffic_time_query_static,STGCN,STGCN,3.805546426773071,3.8017880439758303,0.09876066077658867,5.879152584075928,5.910277843475342,-0.5294174450195265,0.15191209614276885,0.15149882733821865,0.27204469890390004
weather_given_query@dynamic(C-H),36,12,H_time_query_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,3.6829957962036133,3.720655250549316,-1.022522327734433,5.672651386260986,5.715810775756836,-0.7608327492216582,0.14627750813961027,0.14799474477767943,-1.173958088231991
query_given_weather@static(F-I),36,12,I_time_weather_static,F_traffic_time_query_static,STGCN,STGCN,3.787907028198242,3.8017880439758303,-0.36645608443538824,5.83180341720581,5.910277843475342,-1.345628798769267,0.1498612850904464,0.15149882733821865,-1.092705328653712
query_given_weather@dynamic(C-J),36,12,J_time_weather_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,3.781665325164795,3.720655250549316,1.6133123735062538,5.801942920684814,5.715810775756836,1.4845396810248492,0.14918664693832392,0.14799474477767943,0.7989335407057195
time@static(B-A),36,36,A_traffic_only,B_traffic_time,STGCN,STGCN,4.930440235137939,4.178519630432129,15.250577409844082,7.720145225524902,6.421939945220947,16.81581424157327,0.19966768026351928,0.1695578902959823,15.079951811829728
dynamic@traffic_only(D-A),36,36,A_traffic_only,D_traffic_causal,STGCN,CausalSTGCN,4.930440235137939,4.719610691070557,4.276079498233371,7.720145225524902,7.393920993804931,4.225622992704657,0.19966768026351928,0.1880227297544479,5.832165973833373
dynamic@time(E-B),36,36,B_traffic_time,E_traffic_time_causal,STGCN,CausalSTGCN,4.178519630432129,4.113472747802734,1.5566968300366253,6.421939945220947,6.301273250579834,1.8789757560861313,0.1695578902959823,0.16484089493751525,2.7819379860371103
external@static(F-B),36,36,B_traffic_time,F_traffic_time_query_static,STGCN,STGCN,4.178519630432129,4.239223289489746,-1.4527551483906485,6.421939945220947,6.574402809143066,-2.3740935795511247,0.1695578902959823,0.17394911348819728,-2.5898076371141405
external@dynamic(C-E),36,36,E_traffic_time_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,4.113472747802734,4.056165313720703,1.393164306549568,6.301273250579834,6.276854515075684,0.38752065706567745,0.16484089493751525,0.1642887681722641,0.334945260677239
dynamic@full(C-F),36,36,F_traffic_time_query_static,C_traffic_time_query,STGCN,CausalSTGCN,4.239223289489746,4.056165313720703,4.318196123872421,6.574402809143066,6.276854515075684,4.525860412045036,0.17394911348819728,0.1642887681722641,5.553546736867189
query@static(G-B),36,36,B_traffic_time,G_time_query_static,STGCN,STGCN,4.178519630432129,4.2648638725280765,-2.0663835456725574,6.421939945220947,6.623666763305664,-3.1412130883415905,0.1695578902959823,0.17494671940803525,-3.1781647569724583
query@dynamic(H-E),36,36,E_traffic_time_causal,H_time_query_causal,CausalSTGCN,CausalSTGCN,4.113472747802734,4.013027048110962,2.441871038173938,6.301273250579834,6.16623592376709,2.1430165213089043,0.16484089493751525,0.16267523765563963,1.3137864136788007
weather@static(I-B),36,36,B_traffic_time,I_time_weather_static,STGCN,STGCN,4.178519630432129,4.187566184997559,-0.21650142551787227,6.421939945220947,6.469446754455566,-0.739757918010002,0.1695578902959823,0.17161867320537563,-1.2153860288046718
weather@dynamic(J-E),36,36,E_traffic_time_causal,J_time_weather_causal,CausalSTGCN,CausalSTGCN,4.113472747802734,4.1783881187438965,-1.5781159842577708,6.301273250579834,6.4057825088500975,-1.6585419186613808,0.16484089493751525,0.16817587614059443,-2.0231515998158955
weather_given_query@static(F-G),36,36,G_time_query_static,F_traffic_time_query_static,STGCN,STGCN,4.2648638725280765,4.239223289489746,0.6012051921162886,6.623666763305664,6.574402809143066,0.7437565312843661,0.17494671940803525,0.17394911348819728,0.5702341394074456
weather_given_query@dynamic(C-H),36,36,H_time_query_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,4.013027048110962,4.056165313720703,-1.0749557651261668,6.16623592376709,6.276854515075684,-1.7939403012821216,0.16267523765563963,0.1642887681722641,-0.9918722356749109
query_given_weather@static(F-I),36,36,I_time_weather_static,F_traffic_time_query_static,STGCN,STGCN,4.187566184997559,4.239223289489746,-1.2335829980969502,6.469446754455566,6.574402809143066,-1.622334314989395,0.17161867320537563,0.17394911348819728,-1.3579176667056574
query_given_weather@dynamic(C-J),36,36,J_time_weather_causal,C_traffic_time_query,CausalSTGCN,CausalSTGCN,4.1783881187438965,4.056165313720703,2.9251185277622374,6.4057825088500975,6.276854515075684,2.012681410839185,0.16817587614059443,0.1642887681722641,2.3113350484826523
