mode,view_key,H_trained,report_step,model,use_dyn,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,keep_mean
A_traffic_only,traffic_only,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
A_traffic_only,traffic_only,12,12,DCRNN,False,4.752956867218018,0.014051300291432482,7.215932559967041,0.01413439971845005,0.19068046808242797,0.001118977184266757,100.0
A_traffic_only,traffic_only,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
A_traffic_only,traffic_only,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
A_traffic_only,traffic_only,12,12,STGCN,False,4.611481094360352,0.08801856876933298,7.289256000518799,0.11029277052057188,0.1826532632112503,0.003279997455892396,100.0
A_traffic_only,traffic_only,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
A_traffic_only,traffic_only,36,12,DCRNN,False,4.738154792785645,0.007595907102465011,7.191629123687744,0.011744624913348658,0.19222276508808137,0.0015537297660494793,100.0
A_traffic_only,traffic_only,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
A_traffic_only,traffic_only,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
A_traffic_only,traffic_only,36,12,STGCN,False,4.385727977752685,0.04926847057624977,6.860755348205567,0.11042965340551551,0.17410084903240203,0.0027660945552278,100.0
A_traffic_only,traffic_only,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
A_traffic_only,traffic_only,36,36,DCRNN,False,5.895124721527099,0.017204344076251654,8.765304946899414,0.03548372506196572,0.23163911402225495,0.001980563445266675,100.0
A_traffic_only,traffic_only,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
A_traffic_only,traffic_only,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
A_traffic_only,traffic_only,36,36,STGCN,False,4.930440235137939,0.11228178753358359,7.720145225524902,0.15717339542611675,0.19966768026351928,0.005096431113804196,100.0
B_traffic_time,traffic_time,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
B_traffic_time,traffic_time,12,12,DCRNN,False,3.902861976623535,0.013019445671384487,6.038020896911621,0.03774887416149047,0.16031046211719513,0.0009659667645826852,100.0
B_traffic_time,traffic_time,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
B_traffic_time,traffic_time,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
B_traffic_time,traffic_time,12,12,STGCN,False,3.93829984664917,0.06583940605051235,6.119907569885254,0.12741595976830938,0.15584607422351837,0.0037937687099285924,100.0
B_traffic_time,traffic_time,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
B_traffic_time,traffic_time,36,12,DCRNN,False,3.90532865524292,0.00981872647517656,6.037986469268799,0.017749382534557955,0.16282569169998168,0.0007179185639864436,100.0
B_traffic_time,traffic_time,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
B_traffic_time,traffic_time,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
B_traffic_time,traffic_time,36,12,STGCN,False,3.7734113216400145,0.03189415636494824,5.831431198120117,0.052990231516240736,0.14926817119121552,0.002258491827859746,100.0
B_traffic_time,traffic_time,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
B_traffic_time,traffic_time,36,36,DCRNN,False,4.478243350982666,0.009663570960129172,6.967092037200928,0.02440169704854202,0.18793932795524598,0.00037114991128372847,100.0
B_traffic_time,traffic_time,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
B_traffic_time,traffic_time,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
