mode,view_key,H_trained,block_idx,gate_mean_mean,gate_mean_std,gate_std_mean,dynamic_preference_share_mean,gate_q10_mean,gate_q50_mean,gate_q90_mean
C_traffic_time_query,traffic_time_weather_query,12,0,0.6235227003693581,0.20050686247441474,0.12305736728012562,0.6519265625,0.45838907584547994,0.6274422571063042,0.7826125204563141
C_traffic_time_query,traffic_time_weather_query,12,1,0.5203829005360603,0.24758727963147165,0.19028732255101205,0.509296875,0.280226993188262,0.5058425635099411,0.7877974480390548
C_traffic_time_query,traffic_time_weather_query,36,0,0.44489006102085116,0.03931642979229352,0.18379033282399176,0.3201390625,0.2462508834898472,0.40479000359773637,0.7425866663455963
C_traffic_time_query,traffic_time_weather_query,36,1,0.3630283087491989,0.027485643662974846,0.18726006746292115,0.2764515625,0.12046422921121121,0.3483037382364273,0.6230690807104111
D_traffic_causal,traffic_only,12,0,0.5761613547801971,0.2275117815614426,0.17083289846777916,0.539378125,0.36639962121844294,0.5570206701755523,0.8036162227392196
D_traffic_causal,traffic_only,12,1,0.4634633496403694,0.2776376737476573,0.14862409308552743,0.384078125,0.2813832078129053,0.4436492122709751,0.6806760609149933
D_traffic_causal,traffic_only,36,0,0.3621944136437378,0.19231955511304716,0.10081369467516196,0.24748125,0.23263047108775936,0.35535896191722716,0.5015839211118873
D_traffic_causal,traffic_only,36,1,0.28748113793990343,0.15152008991645427,0.11306251138448715,0.16646875,0.13560104055068223,0.2929867996062967,0.4417394830074045
E_traffic_time_causal,traffic_time,12,0,0.5818996533751488,0.2303349097823163,0.13876228258013726,0.5324171875,0.39856714829802514,0.5784740656614303,0.7625946566462517
E_traffic_time_causal,traffic_time,12,1,0.5005069240927696,0.2601203861663262,0.1777078777551651,0.46461406250000004,0.29492910765111446,0.4619237996637821,0.7691358208656311
E_traffic_time_causal,traffic_time,36,0,0.5252089694142341,0.03553204300383956,0.20180838778614998,0.5608265625000001,0.24681719169020652,0.5557284995913505,0.7647272944450378
E_traffic_time_causal,traffic_time,36,1,0.3587521404027939,0.05405011516472532,0.1939339816570282,0.300071875,0.11105720698833466,0.34231620132923124,0.6344502985477447
H_time_query_causal,traffic_time_query,12,0,0.30545403314754366,0.2581163525819939,0.10856770649697864,0.3282546875,0.14628221793245758,0.3194602767951437,0.4459952558405348
H_time_query_causal,traffic_time_query,12,1,0.25088747985864757,0.21114726203078724,0.12194125876267208,0.2226,0.10334401376312599,0.23522067613666878,0.42270304210251197
H_time_query_causal,traffic_time_query,36,0,0.43477613627910616,0.07342935449246454,0.18936593681573868,0.3125046875,0.22536959424614905,0.3945694833993912,0.7188389241695404
H_time_query_causal,traffic_time_query,36,1,0.3727322980761528,0.027869877549447013,0.18100461289286612,0.278915625,0.1305083278566599,0.3749335139989853,0.6235112518072128
J_time_weather_causal,traffic_time_weather,12,0,0.6199831941703451,0.38114180754267973,0.04381839000125183,0.671165625,0.5551119917654432,0.625489730539266,0.6723447778844275
J_time_weather_causal,traffic_time_weather,12,1,0.5599326485753409,0.3978701038035613,0.10404118597944034,0.55488125,0.4333899738208856,0.5454257303790655,0.7116874108032789
J_time_weather_causal,traffic_time_weather,36,0,0.365844178077532,0.1956366002636708,0.13898731544759357,0.36520937499999995,0.17769930052309063,0.3719371883824351,0.5489227845027926
J_time_weather_causal,traffic_time_weather,36,1,0.2827937804249814,0.1517494403228459,0.17855541631870436,0.2523578125,0.06676206310512497,0.25709789992542936,0.5477419443544932
