scenario,model,step,mean_signed_delta,mean_abs_delta,treated_signed_delta,treated_abs_delta,untreated_signed_delta,untreated_abs_delta
query_shock,dynamic,1,0.0007019652402959764,0.0012766661820933223,0.04434235394001007,0.06194659695029259,-7.634634130226914e-06,0.0002901633270084858
query_shock,dynamic,2,0.0005422112881205976,0.0012083230540156364,0.036424554884433746,0.0580143928527832,-4.124141560168937e-05,0.0002846470451913774
query_shock,dynamic,3,0.0005859399097971618,0.001262705191038549,0.040959812700748444,0.061014264822006226,-7.054588058963418e-05,0.00029113510390743613
query_shock,dynamic,4,0.0005276656011119485,0.0012683403911069036,0.038947202265262604,0.06057707965373993,-9.704229887574911e-05,0.00030397059163078666
query_shock,dynamic,5,0.00041066305129788816,0.0012517409631982446,0.033267661929130554,0.058403365314006805,-0.00012359709944576025,0.0003224462561774999
query_shock,dynamic,6,0.0004580819222610444,0.0013213789789006114,0.038004592061042786,0.06114872545003891,-0.00015243042435031384,0.00034857660648413
query_shock,dynamic,7,0.00044311885721981525,0.0013588715810328722,0.03865353763103485,0.06175220012664795,-0.00017818875494413078,0.00037686622818000615
query_shock,dynamic,8,0.0004953978932462633,0.0014380045467987657,0.04354504495859146,0.06481648981571198,-0.000204596362891607,0.0004074600583408028
query_shock,dynamic,9,0.0003933206608053297,0.0014359462074935436,0.03878635913133621,0.06275537610054016,-0.00023095640062820166,0.0004388822999317199
query_shock,dynamic,10,0.00041058010538108647,0.0014892368344590068,0.04127467796206474,0.06429804861545563,-0.00025387678761035204,0.00046795528032816947
query_shock,dynamic,11,0.0004870136908721179,0.0015777081716805696,0.047444384545087814,0.06800946593284607,-0.00027652079006657004,0.000497516943141818
query_shock,dynamic,12,0.00027744437102228403,0.0015156215522438288,0.035636331886053085,0.06234946474432945,-0.00029749691020697355,0.0005264534265734255
query_shock,dynamic,13,0.00036994856782257557,0.001598948147147894,0.04265555366873741,0.0660104900598526,-0.00031762223807163537,0.0005516060627996922
query_shock,dynamic,14,0.00035360248875804245,0.0016336638946086168,0.04290350154042244,0.06664349138736725,-0.0003382657887414098,0.0005765933892689645
query_shock,dynamic,15,0.00011755940067814663,0.0015827310271561146,0.029566287994384766,0.06177698075771332,-0.0003612817090470344,0.0006039627478457987
query_shock,dynamic,16,0.000153187065734528,0.001637788605876267,0.03303496912121773,0.06384967267513275,-0.0003814760420937091,0.0006262133247219026
query_shock,dynamic,17,0.00030861017876304686,0.0017382699297741055,0.04399910941720009,0.06902582943439484,-0.000401804456487298,0.000644163228571415
query_shock,dynamic,18,0.00026440000510774553,0.001764643588103354,0.04266991466283798,0.069398894906044,-0.00042512055370025337,0.0006648997659794986
query_shock,dynamic,19,0.00023273625993169844,0.0017808199627324939,0.041803859174251556,0.06970994919538498,-0.0004432169662322849,0.0006762812263332307
query_shock,dynamic,20,0.00014275440480560064,0.0017698467709124088,0.037143342196941376,0.06857459247112274,-0.0004588811716530472,0.0006835907697677612
query_shock,dynamic,21,0.0001225001469720155,0.0017729189712554216,0.03644939884543419,0.06881210207939148,-0.0004681811260525137,0.0006828508921898901
query_shock,dynamic,22,0.0001410698314430192,0.0017930379835888743,0.03817693144083023,0.07018526643514633,-0.00047739947331137955,0.0006809691549278796
query_shock,dynamic,23,0.00017425022087991238,0.0018061568262055516,0.040505550801754,0.07148469984531403,-0.0004815432766918093,0.0006731724133715034
query_shock,dynamic,24,0.0003305791178718209,0.001871973741799593,0.05036965385079384,0.07614453136920929,-0.0004830643592868,0.0006642898661084473
query_shock,dynamic,25,0.0001791329705156386,0.001820339821279049,0.041072189807891846,0.07324808835983276,-0.0004857947933487594,0.0006589128752239048
query_shock,dynamic,26,0.00025023153284564614,0.0018543031765148044,0.04556496441364288,0.07566782087087631,-0.0004865934024564922,0.0006540832109749317
query_shock,dynamic,27,0.00011899149103555828,0.0018162772757932544,0.0374516025185585,0.07335083186626434,-0.00048804283142089844,0.0006531138787977397
query_shock,dynamic,28,0.0001286963524762541,0.0018297979841008782,0.03808547556400299,0.07432250678539276,-0.00048848707228899,0.000651054666377604
query_shock,dynamic,29,0.00025611306773498654,0.001880021532997489,0.04601837322115898,0.0776488184928894,-0.0004879886982962489,0.0006480086012743413
query_shock,dynamic,30,0.0002864964189939201,0.0018952559912577271,0.04795977845788002,0.07873871922492981,-0.0004886788665316999,0.0006457687122747302
query_shock,dynamic,31,0.00021658137848135084,0.0018832117784768343,0.04388505220413208,0.07781927287578583,-0.0004934750613756478,0.000648479035589844
query_shock,dynamic,32,0.00015759974485263228,0.0018724265974014997,0.04040342569351196,0.07717514038085938,-0.0004968038992956281,0.0006479922449216247
query_shock,dynamic,33,1.3323694474820513e-05,0.001820074743591249,0.0313134491443634,0.07428168505430222,-0.000495621410664171,0.0006418373668566346
query_shock,dynamic,34,6.199184281285852e-05,0.0018271751469001174,0.034301504492759705,0.07510178536176682,-0.0004947481793351471,0.0006357179372571409
query_shock,dynamic,35,7.472249853890389e-05,0.0018264210084453225,0.03505236655473709,0.07539089024066925,-0.0004940196522511542,0.0006302508409135044
query_shock,dynamic,36,0.00020608160411939025,0.0018650266574695706,0.04318961128592491,0.07806335389614105,-0.0004928375710733235,0.0006260295631363988
query_shock,static,1,1.063404943124624e-05,1.2187853826617356e-05,0.0006646281108260155,0.0007617408409714699,0.0,0.0
query_shock,static,2,-0.00023928294831421226,0.00023928294831421226,-0.014955184422433376,0.014955184422433376,0.0,0.0
query_shock,static,3,-0.0001509383728262037,0.0001509383728262037,-0.00943364854902029,0.00943364854902029,0.0,0.0
query_shock,static,4,-2.5322735837107757e-06,8.15561452327529e-06,-0.0001582670956850052,0.000509725883603096,0.0,0.0
query_shock,static,5,-0.00022547856497112662,0.00022547856497112662,-0.01409240998327732,0.01409240998327732,0.0,0.0
query_shock,static,6,-9.341323311673477e-05,9.341323311673477e-05,-0.00583832710981369,0.00583832710981369,0.0,0.0
query_shock,static,7,4.921051731798798e-05,4.921051731798798e-05,0.0030756574124097824,0.0030756574124097824,0.0,0.0
query_shock,static,8,-0.0003766830777749419,0.0003766830777749419,-0.02354269288480282,0.02354269288480282,0.0,0.0
query_shock,static,9,5.7963639847002923e-05,5.7963639847002923e-05,0.00362272746860981,0.00362272746860981,0.0,0.0
query_shock,static,10,0.00016054951993282884,0.00016054951993282884,0.010034345090389252,0.010034345090389252,0.0,0.0
query_shock,static,11,-0.00037002493627369404,0.00037002493627369404,-0.02312655933201313,0.02312655933201313,0.0,0.0
query_shock,static,12,-6.933689292054623e-05,6.933689292054623e-05,-0.004333555698394775,0.004333555698394775,0.0,0.0
query_shock,static,13,-2.048313717750716e-06,3.146231165374047e-06,-0.00012801960110664368,0.00019663944840431213,0.0,0.0
query_shock,static,14,-0.00016393202531617135,0.00016393202531617135,-0.010245751589536667,0.010245751589536667,0.0,0.0
query_shock,static,15,8.915287617128342e-05,8.915287617128342e-05,0.005572054535150528,0.005572054535150528,0.0,0.0
query_shock,static,16,3.054374610655941e-05,3.054374610655941e-05,0.0019089840352535248,0.0019089840352535248,0.0,0.0
query_shock,static,17,-8.218848961405456e-05,8.218848961405456e-05,-0.0051367804408073425,0.0051367804408073425,0.0,0.0
query_shock,static,18,-0.00013270735507830977,0.00013270735507830977,-0.008294209837913513,0.008294209837913513,0.0,0.0
query_shock,static,19,-7.386845391010866e-05,7.386845391010866e-05,-0.004616778343915939,0.004616778343915939,0.0,0.0
query_shock,static,20,-2.353924537601415e-05,2.353924537601415e-05,-0.0014712028205394745,0.0014712028205394745,0.0,0.0
query_shock,static,21,-0.00014683007611893117,0.00014683007611893117,-0.009176880121231079,0.009176880121231079,0.0,0.0
query_shock,static,22,-0.00011707246449077502,0.00011707246449077502,-0.0073170289397239685,0.0073170289397239685,0.0,0.0
