scenario,sample_index,sample_query_score,node_id,recent_query_mean,is_treated,hop_bucket,dynamic_mean_signed_delta,dynamic_mean_abs_delta,static_mean_signed_delta,static_mean_abs_delta,dynamic_factual_mean_speed,dynamic_cf_mean_speed,static_factual_mean_speed,static_cf_mean_speed
speed_reduction,73,1.6099671125411987,376,2.2328550815582275,False,hop_3plus,0.0,0.0,0.0,0.0,17.621654510498047,17.621654510498047,17.76299285888672,17.76299285888672
speed_reduction,73,1.6099671125411987,375,3.52319073677063,False,hop_3plus,0.0,0.0,0.0,0.0,21.53852653503418,21.53852653503418,21.58458709716797,21.58458709716797
speed_reduction,73,1.6099671125411987,374,2.3631253242492676,False,hop_3plus,0.0,0.0,0.0,0.0,25.78631019592285,25.78631019592285,25.561168670654297,25.561168670654297
speed_reduction,73,1.6099671125411987,373,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,27.549110412597656,27.549110412597656,27.847442626953125,27.847442626953125
speed_reduction,73,1.6099671125411987,372,4.9158148765563965,False,hop_3plus,0.0,0.0,0.0,0.0,29.21162223815918,29.21162223815918,31.01978302001953,31.01978302001953
speed_reduction,73,1.6099671125411987,371,2.435943365097046,False,hop_3plus,0.0,0.0,0.0,0.0,30.12781524658203,30.12781524658203,30.821590423583984,30.821590423583984
speed_reduction,73,1.6099671125411987,370,1.6648234128952026,False,hop_3plus,0.0,0.0,0.0,0.0,35.22034454345703,35.22034454345703,36.30604553222656,36.30604553222656
speed_reduction,73,1.6099671125411987,481,3.8385214805603027,False,hop_3plus,0.0,0.0,0.0,0.0,25.855037689208984,25.855037689208984,25.5484619140625,25.5484619140625
speed_reduction,73,1.6099671125411987,482,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,38.66661071777344,38.66661071777344,37.91749572753906,37.91749572753906
speed_reduction,73,1.6099671125411987,369,3.11152720451355,False,hop_3plus,0.0,0.0,0.0,0.0,43.81962585449219,43.81962585449219,45.278541564941406,45.278541564941406
speed_reduction,73,1.6099671125411987,484,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,18.074180603027344,18.074180603027344,18.70050811767578,18.70050811767578
speed_reduction,73,1.6099671125411987,365,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,19.073589324951172,19.073589324951172,19.494293212890625,19.494293212890625
speed_reduction,73,1.6099671125411987,364,3.3069558143615723,False,hop_3plus,0.0,0.0,0.0,0.0,26.8189754486084,26.8189754486084,25.80274200439453,25.80274200439453
speed_reduction,73,1.6099671125411987,363,1.0445564985275269,False,hop_3plus,0.0,0.0,0.0,0.0,25.83793067932129,25.83793067932129,25.720138549804688,25.720138549804688
speed_reduction,73,1.6099671125411987,362,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,28.319841384887695,28.319841384887695,28.464664459228516,28.464664459228516
speed_reduction,73,1.6099671125411987,361,3.174787998199463,False,hop_3plus,0.0,0.0,0.0,0.0,25.053668975830078,25.053668975830078,23.823808670043945,23.823808670043945
speed_reduction,73,1.6099671125411987,360,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,25.000394821166992,25.000394821166992,24.134302139282227,24.134302139282227
speed_reduction,73,1.6099671125411987,357,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,19.51348304748535,19.51348304748535,17.746715545654297,17.746715545654297
speed_reduction,73,1.6099671125411987,356,6.044584274291992,False,hop_3plus,0.0,0.0,0.0,0.0,42.18898010253906,42.18898010253906,39.44190979003906,39.44190979003906
speed_reduction,73,1.6099671125411987,379,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,15.568283081054688,15.568283081054688,16.1960506439209,16.1960506439209
speed_reduction,73,1.6099671125411987,479,1.6041830778121948,False,hop_3plus,0.0,0.0,0.0,0.0,21.06867790222168,21.06867790222168,20.38178062438965,20.38178062438965
speed_reduction,73,1.6099671125411987,408,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,24.158485412597656,24.158485412597656,23.907278060913086,23.907278060913086
speed_reduction,73,1.6099671125411987,382,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,18.46813201904297,18.46813201904297,19.075605392456055,19.075605392456055
speed_reduction,73,1.6099671125411987,407,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,42.643863677978516,42.643863677978516,44.26420593261719,44.26420593261719
speed_reduction,73,1.6099671125411987,406,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,42.77662658691406,42.77662658691406,44.67414474487305,44.67414474487305
speed_reduction,73,1.6099671125411987,405,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,40.585140228271484,40.585140228271484,35.79924392700195,35.79924392700195
speed_reduction,73,1.6099671125411987,403,7.652134895324707,False,hop_3plus,0.0,0.0,0.0,0.0,38.8069953918457,38.8069953918457,36.545440673828125,36.545440673828125
speed_reduction,73,1.6099671125411987,402,0.5493061542510986,False,hop_3plus,0.0,0.0,0.0,0.0,19.267549514770508,19.267549514770508,19.41010284423828,19.41010284423828
speed_reduction,73,1.6099671125411987,401,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,17.077396392822266,17.077396392822266,17.96318817138672,17.96318817138672
speed_reduction,73,1.6099671125411987,399,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,33.42978286743164,33.42978286743164,34.06068420410156,34.06068420410156
speed_reduction,73,1.6099671125411987,398,1.9791791439056396,False,hop_3plus,0.0,0.0,0.0,0.0,31.71640396118164,31.71640396118164,31.67119598388672,31.67119598388672
speed_reduction,73,1.6099671125411987,397,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,36.575286865234375,36.575286865234375,36.51652526855469,36.51652526855469
speed_reduction,73,1.6099671125411987,396,2.5100719928741455,False,hop_3plus,0.0,0.0,0.0,0.0,41.69300842285156,41.69300842285156,42.15801239013672,42.15801239013672
speed_reduction,73,1.6099671125411987,395,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,19.664478302001953,19.664478302001953,19.156461715698242,19.156461715698242
speed_reduction,73,1.6099671125411987,394,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,24.140886306762695,24.140886306762695,24.43401336669922,24.43401336669922
speed_reduction,73,1.6099671125411987,393,6.257467269897461,False,hop_3plus,0.0,0.0,0.0,0.0,40.17414855957031,40.17414855957031,40.1567268371582,40.1567268371582
