scenario,sample_index,sample_query_score,node_id,recent_query_mean,is_treated,hop_bucket,dynamic_mean_signed_delta,dynamic_mean_abs_delta,static_mean_signed_delta,static_mean_abs_delta,dynamic_factual_mean_speed,dynamic_cf_mean_speed,static_factual_mean_speed,static_cf_mean_speed
query_shock,73,1.6099671125411987,212,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,66.76781463623047,66.76781463623047,66.53250122070312,66.53250122070312
query_shock,73,1.6099671125411987,226,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,45.862892150878906,45.862892150878906,40.87812805175781,40.87812805175781
query_shock,73,1.6099671125411987,225,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,38.1501350402832,38.1501350402832,25.255571365356445,25.255571365356445
query_shock,73,1.6099671125411987,224,5.0772576332092285,False,hop_3plus,0.0,0.0,0.0,0.0,52.06427001953125,52.06427001953125,55.949859619140625,55.949859619140625
query_shock,73,1.6099671125411987,223,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,67.05455780029297,67.05455780029297,66.983154296875,66.983154296875
query_shock,73,1.6099671125411987,222,1.300313949584961,False,hop_3plus,0.0,0.0,0.0,0.0,58.98897933959961,58.98897933959961,56.444942474365234,56.444942474365234
query_shock,73,1.6099671125411987,221,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,54.68580627441406,54.68580627441406,56.57749938964844,56.57749938964844
query_shock,73,1.6099671125411987,220,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,57.46303176879883,57.46303176879883,54.62471389770508,54.62471389770508
query_shock,73,1.6099671125411987,219,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,54.9138298034668,54.9138298034668,57.04459762573242,57.04459762573242
query_shock,73,1.6099671125411987,217,3.174887180328369,False,hop_3plus,0.0,0.0,0.0,0.0,28.724870681762695,28.724870681762695,29.105730056762695,29.105730056762695
query_shock,73,1.6099671125411987,216,3.1839590072631836,False,hop_3plus,0.0,0.0,0.0,0.0,25.864887237548828,25.864887237548828,25.792991638183594,25.792991638183594
query_shock,73,1.6099671125411987,215,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,26.584877014160156,26.584877014160156,27.143190383911133,27.143190383911133
query_shock,73,1.6099671125411987,214,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,26.481592178344727,26.481592178344727,26.146446228027344,26.146446228027344
query_shock,73,1.6099671125411987,210,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,55.55588150024414,55.55588150024414,57.03047180175781,57.03047180175781
query_shock,73,1.6099671125411987,229,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,16.889942169189453,16.889942169189453,17.145416259765625,17.145416259765625
query_shock,73,1.6099671125411987,209,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,15.963536262512207,15.963536262512207,16.129911422729492,16.129911422729492
query_shock,73,1.6099671125411987,208,1.363830327987671,False,hop_3plus,0.0,0.0,0.0,0.0,42.288448333740234,42.288448333740234,42.45186996459961,42.45186996459961
query_shock,73,1.6099671125411987,207,3.034104108810425,False,hop_3plus,0.0,0.0,0.0,0.0,15.832792282104492,15.832792282104492,16.55716896057129,16.55716896057129
query_shock,73,1.6099671125411987,206,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,16.662696838378906,16.662696838378906,17.165334701538086,17.165334701538086
query_shock,73,1.6099671125411987,205,0.8192861676216125,False,hop_3plus,0.0,0.0,0.0,0.0,22.031076431274414,22.031076431274414,21.456552505493164,21.456552505493164
query_shock,73,1.6099671125411987,204,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,16.855358123779297,16.855358123779297,17.413850784301758,17.413850784301758
query_shock,73,1.6099671125411987,203,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,41.47728729248047,41.47728729248047,36.372352600097656,36.372352600097656
query_shock,73,1.6099671125411987,202,1.3870257139205933,False,hop_3plus,0.0,0.0,0.0,0.0,24.486862182617188,24.486862182617188,24.630943298339844,24.630943298339844
query_shock,73,1.6099671125411987,201,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,39.22239685058594,39.22239685058594,38.694610595703125,38.694610595703125
query_shock,73,1.6099671125411987,200,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,16.068645477294922,16.068645477294922,16.752906799316406,16.752906799316406
query_shock,73,1.6099671125411987,199,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,18.194549560546875,18.194549560546875,19.015689849853516,19.015689849853516
query_shock,73,1.6099671125411987,198,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,17.688634872436523,17.688634872436523,18.154081344604492,18.154081344604492
query_shock,73,1.6099671125411987,227,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,24.074594497680664,24.074594497680664,21.55567169189453,21.55567169189453
query_shock,73,1.6099671125411987,230,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,15.325641632080078,15.325641632080078,15.929676055908203,15.929676055908203
query_shock,73,1.6099671125411987,134,4.729889392852783,False,hop_3plus,0.0,0.0,0.0,0.0,38.16609573364258,38.16609573364258,38.40159606933594,38.40159606933594
query_shock,73,1.6099671125411987,246,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,18.987146377563477,18.987146377563477,16.97104263305664,16.97104263305664
query_shock,73,1.6099671125411987,259,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,56.90732192993164,56.90732192993164,58.01080322265625,58.01080322265625
query_shock,73,1.6099671125411987,258,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,20.21630096435547,20.21630096435547,18.77824592590332,18.77824592590332
query_shock,73,1.6099671125411987,257,3.780627965927124,False,hop_3plus,0.0,0.0,0.0,0.0,23.86629295349121,23.86629295349121,21.56545066833496,21.56545066833496
query_shock,73,1.6099671125411987,256,2.693554639816284,False,hop_3plus,0.0,0.0,0.0,0.0,28.34938621520996,28.34938621520996,28.41500473022461,28.41500473022461
query_shock,73,1.6099671125411987,255,6.806118965148926,False,hop_3plus,0.0,0.0,0.0,0.0,16.82509994506836,16.82509994506836,17.15699005126953,17.15699005126953
query_shock,73,1.6099671125411987,254,8.764093399047852,False,hop_3plus,0.0,0.0,0.0,0.0,25.296415328979492,25.296415328979492,21.168195724487305,21.168195724487305
query_shock,73,1.6099671125411987,253,0.0,False,hop_3plus,0.0,0.0,0.0,0.0,15.446149826049805,15.446149826049805,16.05045509338379,16.05045509338379
