scenario,group,step,horizon_minutes,y_true_mean,dynamic_factual_mean,dynamic_cf_mean,dynamic_delta_mean,static_factual_mean,static_cf_mean,static_delta_mean
query_shock,treated,1,15,31.37727165222168,31.94159698486328,32.004913330078125,0.06331419944763184,31.277185440063477,31.277843475341797,0.0006563663482666016
query_shock,treated,2,30,30.62605094909668,31.517353057861328,31.57140350341797,0.05405020713806152,31.12141227722168,31.106449127197266,-0.014961481094360352
query_shock,treated,3,45,32.36762619018555,31.39313316345215,31.450326919555664,0.05719470977783203,30.971668243408203,30.962228775024414,-0.009442329406738281
query_shock,treated,4,60,31.71463394165039,31.12432098388672,31.17825698852539,0.05393671989440918,30.912166595458984,30.9119930267334,-0.00017452239990234375
query_shock,treated,5,75,30.27269744873047,30.96687126159668,31.01366424560547,0.04679226875305176,30.86159896850586,30.847501754760742,-0.01409912109375
query_shock,treated,6,90,31.137859344482422,30.966617584228516,31.016347885131836,0.04972982406616211,30.823781967163086,30.817941665649414,-0.0058405399322509766
query_shock,treated,7,105,31.415185928344727,30.801517486572266,30.849754333496094,0.04823803901672363,30.758712768554688,30.76178550720215,0.003072023391723633
query_shock,treated,8,120,29.70974349975586,30.78271484375,30.83382797241211,0.05111217498779297,30.80588150024414,30.782337188720703,-0.023545503616333008
query_shock,treated,9,135,30.02606201171875,30.7971248626709,30.841751098632812,0.044625043869018555,30.846521377563477,30.85015106201172,0.003627777099609375
query_shock,treated,10,150,31.3929500579834,30.911436080932617,30.956809997558594,0.04537248611450195,30.869136810302734,30.879165649414062,0.010029077529907227
query_shock,treated,11,165,32.69892120361328,31.17702293395996,31.226909637451172,0.04988694190979004,31.024555206298828,31.00142478942871,-0.02313232421875
query_shock,treated,12,180,32.467803955078125,31.339099884033203,31.37594985961914,0.036847591400146484,31.238353729248047,31.234012603759766,-0.004340410232543945
query_shock,treated,13,195,31.933582305908203,31.576091766357422,31.618907928466797,0.042815208435058594,31.533859252929688,31.533727645874023,-0.00013136863708496094
query_shock,treated,14,210,32.126190185546875,31.859209060668945,31.90138053894043,0.04217100143432617,31.772994995117188,31.76274871826172,-0.010246753692626953
