scenario,group,step,horizon_minutes,y_true_mean,dynamic_factual_mean,dynamic_cf_mean,dynamic_delta_mean,static_factual_mean,static_cf_mean,static_delta_mean
speed_reduction,treated,1,15,31.37727165222168,31.94159698486328,29.267990112304688,-2.673609972000122,31.277185440063477,27.369754791259766,-3.9074301719665527
speed_reduction,treated,2,30,30.62605094909668,31.517353057861328,28.999967575073242,-2.5173869132995605,31.12141227722168,27.416324615478516,-3.705087900161743
speed_reduction,treated,3,45,32.36762619018555,31.39313316345215,28.990402221679688,-2.4027299880981445,30.971668243408203,27.41275405883789,-3.5589163303375244
speed_reduction,treated,4,60,31.71463394165039,31.12432098388672,28.813629150390625,-2.3106894493103027,30.912166595458984,27.47284698486328,-3.439321994781494
speed_reduction,treated,5,75,30.27269744873047,30.96687126159668,28.751203536987305,-2.215667724609375,30.86159896850586,27.549816131591797,-3.3117835521698
speed_reduction,treated,6,90,31.137859344482422,30.966617584228516,28.849563598632812,-2.1170551776885986,30.823781967163086,27.63019561767578,-3.1935861110687256
speed_reduction,treated,7,105,31.415185928344727,30.801517486572266,28.769596099853516,-2.0319204330444336,30.758712768554688,27.673818588256836,-3.084893226623535
speed_reduction,treated,8,120,29.70974349975586,30.78271484375,28.83397674560547,-1.9487380981445312,30.80588150024414,27.831539154052734,-2.97434139251709
speed_reduction,treated,9,135,30.02606201171875,30.7971248626709,28.929298400878906,-1.8678243160247803,30.846521377563477,27.964569091796875,-2.8819522857666016
speed_reduction,treated,10,150,31.3929500579834,30.911436080932617,29.1173095703125,-1.7941296100616455,30.869136810302734,28.056339263916016,-2.8127975463867188
speed_reduction,treated,11,165,32.69892120361328,31.17702293395996,29.45139503479004,-1.7256271839141846,31.024555206298828,28.25286102294922,-2.771695613861084
speed_reduction,treated,12,180,32.467803955078125,31.339099884033203,29.67613983154297,-1.6629588603973389,31.238353729248047,28.535770416259766,-2.7025818824768066
speed_reduction,treated,13,195,31.933582305908203,31.576091766357422,29.989500045776367,-1.5865938663482666,31.533859252929688,28.884822845458984,-2.6490373611450195
speed_reduction,treated,14,210,32.126190185546875,31.859209060668945,30.35137367248535,-1.507836103439331,31.772994995117188,29.185470581054688,-2.587526321411133
speed_reduction,treated,15,225,32.80322265625,32.00168991088867,30.578567504882812,-1.4231231212615967,32.04207229614258,29.528018951416016,-2.514051914215088
speed_reduction,treated,16,240,34.29316329956055,32.23702621459961,30.89571762084961,-1.3413090705871582,32.33679962158203,29.875125885009766,-2.4616756439208984
speed_reduction,treated,17,255,35.730079650878906,32.733116149902344,31.502220153808594,-1.230895757675171,32.642520904541016,30.23833465576172,-2.4041874408721924
speed_reduction,treated,18,270,35.364662170410156,33.07467269897461,31.957149505615234,-1.1175222396850586,32.96921157836914,30.6355037689209,-2.333707571029663
speed_reduction,treated,19,285,33.25902557373047,33.51903533935547,32.50326919555664,-1.015761375427246,33.41410827636719,31.138893127441406,-2.2752163410186768
speed_reduction,treated,20,300,33.00138854980469,33.9461669921875,33.02840042114258,-0.9177682399749756,33.81118392944336,31.604679107666016,-2.206505298614502
speed_reduction,treated,21,315,34.00834655761719,34.44771957397461,33.62553024291992,-0.8221900463104248,34.187442779541016,32.04110336303711,-2.1463372707366943
speed_reduction,treated,22,330,35.46929931640625,35.056453704833984,34.332889556884766,-0.7235636711120605,34.659507751464844,32.560176849365234,-2.099332809448242
speed_reduction,treated,23,345,34.34074401855469,35.68169403076172,35.04558181762695,-0.6361105442047119,35.187225341796875,33.14714050292969,-2.0400846004486084
speed_reduction,treated,24,360,34.60608673095703,36.27802276611328,35.71580505371094,-0.5622189044952393,35.73475646972656,33.73430633544922,-2.000444173812866
speed_reduction,treated,25,375,35.15169906616211,36.89064025878906,36.39759063720703,-0.49304914474487305,36.345924377441406,34.38504409790039,-1.9608826637268066
speed_reduction,treated,26,390,36.83244323730469,37.651878356933594,37.23436737060547,-0.4175136089324951,36.961341857910156,35.04004669189453,-1.9212913513183594
speed_reduction,treated,27,405,37.90019226074219,38.23420715332031,37.890316009521484,-0.3438904285430908,37.59438705444336,35.70833206176758,-1.8860540390014648
speed_reduction,treated,28,420,38.91992950439453,38.82540512084961,38.5391960144043,-0.2862071990966797,38.24547576904297,36.39963912963867,-1.8458428382873535
speed_reduction,treated,29,435,39.5797119140625,39.38636016845703,39.152976989746094,-0.2333824634552002,38.766902923583984,36.96870422363281,-1.7981998920440674
speed_reduction,treated,30,450,39.85813522338867,39.787445068359375,39.60844421386719,-0.17899751663208008,39.24940872192383,37.48634338378906,-1.7630646228790283
speed_reduction,treated,31,465,40.814353942871094,40.251094818115234,40.124534606933594,-0.12656044960021973,39.70318603515625,37.94618225097656,-1.75700044631958
speed_reduction,treated,32,480,40.24888610839844,40.584678649902344,40.501956939697266,-0.08271980285644531,40.043697357177734,38.271522521972656,-1.7721774578094482
speed_reduction,treated,33,495,40.83173751831055,40.833351135253906,40.77826690673828,-0.055083274841308594,40.30707550048828,38.51930236816406,-1.7877700328826904
speed_reduction,treated,34,510,40.810768127441406,41.10844039916992,41.07444763183594,-0.033994436264038086,40.54301452636719,38.75300216674805,-1.790008783340454
speed_reduction,treated,35,525,39.919776916503906,41.360504150390625,41.322669982910156,-0.03782939910888672,40.71186828613281,38.91984176635742,-1.792027235031128
speed_reduction,treated,36,540,40.536865234375,41.55503845214844,41.51905059814453,-0.035985708236694336,40.894561767578125,39.078277587890625,-1.8162825107574463
speed_reduction,all_nodes,1,15,28.482797622680664,28.202966690063477,28.15475082397461,-0.04821505397558212,28.263641357421875,28.192359924316406,-0.07128282636404037
speed_reduction,all_nodes,2,30,28.64682388305664,28.05851173400879,28.013813018798828,-0.0446983277797699,28.1716251373291,28.10421371459961,-0.06741184741258621
speed_reduction,all_nodes,3,45,28.9317684173584,27.930767059326172,27.888648986816406,-0.04212076589465141,28.036462783813477,27.971940994262695,-0.06451988220214844
speed_reduction,all_nodes,4,60,28.48590660095215,27.791851043701172,27.751792907714844,-0.04005886986851692,27.957828521728516,27.895835876464844,-0.0619921050965786
speed_reduction,all_nodes,5,75,27.911888122558594,27.689695358276367,27.651718139648438,-0.037978775799274445,27.921642303466797,27.862520217895508,-0.05912311375141144
speed_reduction,all_nodes,6,90,28.040922164916992,27.569868087768555,27.53402328491211,-0.035844240337610245,27.82611656188965,27.769800186157227,-0.056314751505851746
speed_reduction,all_nodes,7,105,27.93071937561035,27.41108512878418,27.377065658569336,-0.0340193547308445,27.729228973388672,27.675617218017578,-0.05361101031303406
speed_reduction,all_nodes,8,120,27.327363967895508,27.39345359802246,27.361234664916992,-0.03221676126122475,27.778711318969727,27.727930068969727,-0.050781551748514175
