mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
A_traffic_only,traffic_only,36,12,0.0,STGCN,0.3404310080740187,False,4.308928966522217,6.6717610359191895,0.16943417489528656,100.0,63
A_traffic_only,traffic_only,36,36,0.0,STGCN,0.3404310080740187,False,4.904955863952637,7.687042713165283,0.19768506288528442,100.0,63
A_traffic_only,traffic_only,36,12,0.0,DCRNN,0.3894154330094655,False,4.730031967163086,7.172685146331787,0.19110405445098877,100.0,63
A_traffic_only,traffic_only,36,36,0.0,DCRNN,0.3894154330094655,False,5.87712287902832,8.74812126159668,0.232148677110672,100.0,63
A_traffic_only,traffic_only,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,63
A_traffic_only,traffic_only,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,63
A_traffic_only,traffic_only,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,63
A_traffic_only,traffic_only,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,63
A_traffic_only,traffic_only,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,63
A_traffic_only,traffic_only,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,63
