mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
J_time_weather_causal,traffic_time_weather,36,12,0.0,CausalSTGCN,0.28999629451168907,True,3.7702133655548096,5.869900226593018,0.1483197957277298,100.0,42
J_time_weather_causal,traffic_time_weather,36,36,0.0,CausalSTGCN,0.28999629451168907,True,4.184971809387207,6.492020606994629,0.16824126243591309,100.0,42
J_time_weather_causal,traffic_time_weather,36,12,0.0,DCRNN,0.30952486726972794,False,3.9003920555114746,6.044837951660156,0.16269902884960175,100.0,42
J_time_weather_causal,traffic_time_weather,36,36,0.0,DCRNN,0.30952486726972794,False,4.484631538391113,7.030239582061768,0.19144296646118164,100.0,42
J_time_weather_causal,traffic_time_weather,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,42
J_time_weather_causal,traffic_time_weather,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,42
J_time_weather_causal,traffic_time_weather,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,42
J_time_weather_causal,traffic_time_weather,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,42
J_time_weather_causal,traffic_time_weather,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,42
J_time_weather_causal,traffic_time_weather,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,42
