mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
E_traffic_time_causal,traffic_time,36,12,0.9,CausalSTGCN,0.29099363419744706,True,3.769909381866455,5.761934757232666,0.14723791182041168,100.0,21
E_traffic_time_causal,traffic_time,36,36,0.9,CausalSTGCN,0.29099363419744706,True,4.0694122314453125,6.2554731369018555,0.1627410501241684,100.0,21
E_traffic_time_causal,traffic_time,36,12,0.0,DCRNN,0.30870865450965035,False,3.9174697399139404,6.057667255401611,0.1642763316631317,100.0,21
E_traffic_time_causal,traffic_time,36,36,0.0,DCRNN,0.30870865450965035,False,4.5048370361328125,7.023432731628418,0.19030223786830902,100.0,21
E_traffic_time_causal,traffic_time,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,21
E_traffic_time_causal,traffic_time,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,21
E_traffic_time_causal,traffic_time,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,21
E_traffic_time_causal,traffic_time,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,21
E_traffic_time_causal,traffic_time,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,21
E_traffic_time_causal,traffic_time,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,21
