mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
H_time_query_causal,traffic_time_query,36,12,0.5,CausalSTGCN,0.2957814931869507,True,3.855821371078491,5.844541549682617,0.15456445515155792,100.0,0
H_time_query_causal,traffic_time_query,36,36,0.5,CausalSTGCN,0.2957814931869507,True,4.196288585662842,6.393836498260498,0.17206971347332,100.0,0
H_time_query_causal,traffic_time_query,36,12,0.0,DCRNN,0.30862897634506226,False,3.8939707279205322,6.000659465789795,0.1623627096414566,100.0,0
H_time_query_causal,traffic_time_query,36,36,0.0,DCRNN,0.30862897634506226,False,4.470162868499756,6.924186706542969,0.18789179623126984,100.0,0
H_time_query_causal,traffic_time_query,36,12,0.0,HA,,False,4.420600891113281,6.825934410095215,0.18181109428405762,100.0,0
H_time_query_causal,traffic_time_query,36,36,0.0,HA,,False,4.366766452789307,6.768595218658447,0.18092548847198486,100.0,0
H_time_query_causal,traffic_time_query,36,12,0.0,ARIMA,,False,4.085697650909424,6.4136528968811035,0.16608335077762604,100.0,0
H_time_query_causal,traffic_time_query,36,36,0.0,ARIMA,,False,4.513814449310303,7.000955104827881,0.1857883632183075,100.0,0
H_time_query_causal,traffic_time_query,36,12,0.0,LastValue,,False,4.908753871917725,7.917966842651367,0.1903935670852661,100.0,0
H_time_query_causal,traffic_time_query,36,36,0.0,LastValue,,False,6.927804946899414,10.531035423278809,0.26274025440216064,100.0,0
