mode,view_key,H_trained,report_step,lambda,model,best_val_loss,use_dyn,MAE,RMSE,MAPE,keep%,seed
B_traffic_time,traffic_time,12,12,0.0,STGCN,0.2829698854022556,False,4.014595985412598,6.325895309448242,0.16104209423065186,100.0,0
B_traffic_time,traffic_time,12,12,0.0,DCRNN,0.2695060670375824,False,3.911738395690918,6.0751166343688965,0.16067305207252502,100.0,0
B_traffic_time,traffic_time,12,12,0.0,HA,,False,4.389371395111084,6.7794318199157715,0.17981813848018646,100.0,0
B_traffic_time,traffic_time,12,12,0.0,ARIMA,,False,4.06311559677124,6.376037120819092,0.16455253958702087,100.0,0
B_traffic_time,traffic_time,12,12,0.0,LastValue,,False,4.8844895362854,7.872481346130371,0.18883347511291504,100.0,0
